Artist	Song
Aaron Taylor	Saw you in My Dreams
Fred again..	Mustafa (time to move you)
James Blake	Limit To Your Love
Arctic Monkeys	Big Ideas
Sam Fender	Wild Grey Ocean
Junior Brother	Good Friday
Bob Dylan	Blowin' in the Wind
Wesley Joseph	The Bloom
Loyle Carner	A Lasting Place
Tyler, the Creator	EARFQUAKE
Young Fathers	I Heard
Allem Iversom & little blue	Saved For Sunset
Pip Millet	I Know
Nico	These Days
Gillian Welch	Everything Is Free
TRAMPOLENE & Peter Doherty	Uncle Brian's Abattoir
Nick Drake	Know
Coldplay	Sparks
Flyte	Never Get To Heaven
Adrianne Lenker, Max Oleartchik, Buck Meek, James Krivchenia & Big Thief	UFOF
Crumb	Cracking
Dreamer Isioma	Valentina
r mccarthy	I Think I Lost That Love
James Taylor	Sunny Skies
Michael Kiwanuka	I'm Getting Ready
Sfven	love you
Sonder	Indonesian Fantasies
Uly	why did you go use your head?
Jessica Pratt	As The World Turns
Alina Bzhezhinska HipHarp Collective	Soul Vibrations
Mose Allison	Young Man's Blues
Aqualung	Imperfect Cadence
Alice Phoebe Lou	Dirty Mouth
Billie Marten	Liquid Love
Pink Floyd	San Tropez (2011 Remastered Version)
Ólöf Arnalds	Crazy Car
PJ Harvey	The Words That Maketh Murder
Kool & the Gang	Summer Madness
